Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,3.328244,3.778626,-5.068702,-0.234376,-0.951420,-0.017822
1,3.145038,4.061069,-3.229008,-0.231690,-0.948002,-0.022705
2,2.702290,4.595420,-1.251908,-0.222901,-0.948978,-0.009033
3,2.366412,4.618320,0.534351,-0.206788,-0.955082,-0.015869
4,2.610687,5.083969,1.793893,-0.204102,-0.966801,-0.004395
5,2.595420,5.015267,2.465649,-0.207764,-0.969974,-0.001709
6,2.908397,5.000000,2.183206,-0.219239,-0.970951,-0.023926
7,0.732824,5.977099,2.679389,-0.235108,-0.991215,-0.020752
8,-0.687023,6.015267,4.511450,-0.230714,-0.990726,-0.012940
9,-1.595420,6.190840,6.145038,-0.233888,-0.976810,-0.006592
10,-2.099237,6.625954,6.763358,-0.230470,-0.980472,-0.015137
11,-1.984733,7.183206,6.832061,-0.231446,-0.987308,-0.014893
12,-1.946565,7.045802,6.473282,-0.215577,-0.983646,-0.012451
13,-1.381679,6.534351,5.297710,-0.206788,-0.963871,-0.009766
14,-0.877863,6.267176,4.946565,-0.209229,-0.969730,-0.010498
15,-0.198473,6.190840,5.427480,-0.208985,-0.966801,-0.022461
16,-0.076336,5.450382,5.671756,-0.209962,-0.968021,-0.026123
17,-1.000000,4.450382,5.603053,-0.213380,-0.958744,-0.014648
18,-1.366412,4.022901,4.961832,-0.217530,-0.949711,-0.028565
19,0.335878,3.374046,10.099236,-0.206055,-0.937015,-0.019775
20,0.213740,2.778626,12.267176,-0.200928,-0.931400,-0.010498
21,-0.137405,2.923664,14.687022,-0.206055,-0.948978,-0.026856
22,0.030534,2.145038,17.641222,-0.205079,-0.946781,-0.025635
23,0.083969,1.534351,20.358777,-0.209229,-0.957035,-0.017578
24,0.748092,1.267176,20.740457,-0.215333,-0.945804,-0.025635
25,0.961832,2.145038,15.122136,-0.259278,-0.980717,-0.015381
26,0.450382,2.122137,13.671756,-0.258790,-0.971195,-0.003906
27,0.122137,2.984733,12.961832,-0.246827,-0.969242,-0.012940
28,0.000000,3.282443,14.458015,-0.247804,-0.980961,-0.016846
29,-0.442748,2.923664,14.938932,-0.250977,-0.995853,-0.019775
30,-1.267176,2.809160,13.679389,-0.242433,-0.990238,-0.007813
31,-1.717557,2.381679,4.152672,-0.229981,-0.971927,-0.003906
32,-1.282443,2.274809,4.076336,-0.231934,-0.973392,-0.008057
33,-1.946565,1.732824,4.267176,-0.230714,-0.970463,0.000977
34,-2.435115,1.374046,4.786260,-0.235108,-0.962406,0.003906
35,-2.748092,0.465649,4.366412,-0.242921,-0.956302,-0.001953
36,-2.267176,0.145038,3.671756,-0.234864,-0.951420,0.001709
37,-0.931298,-1.862595,-2.984733,-0.245851,-0.962162,0.010986
38,-0.664122,-2.160305,-4.519084,-0.246583,-0.967533,-0.010498
39,-0.320611,-1.916030,-5.839694,-0.244874,-0.970218,-0.000977
40,-0.480916,-1.633588,-6.656488,-0.253175,-0.969242,0.012207
41,-0.648855,-1.206107,-7.557252,-0.259767,-0.977543,0.007080
42,-0.213740,-0.297710,-7.687023,-0.261231,-0.968998,0.008301
43,0.404580,2.778626,-6.358778,-0.273927,-0.981449,-0.008789
44,0.068702,4.129771,-5.450382,-0.257081,-0.970951,-0.015137
45,-0.244275,4.351145,-2.106870,-0.255372,-0.957279,-0.012695
