DATA;DATE_TIME;TEMPERATURE;GAS_PRESENCE;POS(XYZ);VELOCITY(XYZ)
DATA;02/06/2023 23:17:22;20;False;[0,0,0];[0.008, 0, 0]
DATA;02/06/2023 23:17:23;28.95;False;[0,0,0];[0.007999994262232918, 8.005618219221655e-06, -5.264438938662614e-06]
DATA;02/06/2023 23:17:24;28.95;False;[0,0,0];[0.00799999486678172, -6.425450556930696e-06, 6.391013327712688e-06]
DATA;02/06/2023 23:17:25;28.95;False;[0,0,0];[0.007999971678927128, -1.4592697335286505e-05, 1.54980498245845e-05]
DATA;02/06/2023 23:17:26;28.94;False;[0,0,0];[0.00799995000962404, -2.228152215213869e-05, 1.7417729096712525e-05]
DATA;02/06/2023 23:17:27;28.95;False;[0,0,0];[0.00799990790301294, -3.315225841478773e-05, 1.9351255078709848e-05]
DATA;02/06/2023 23:17:28;28.95;False;[0,0,0];[0.007999847249821388, -4.3745933437934046e-05, 2.3027653650972885e-05]
DATA;02/06/2023 23:17:29;28.95;False;[0,0,0];[0.007999600345183037, -7.853761071170495e-05, 1.5038651905919093e-05]
DATA;02/06/2023 23:17:30;28.95;False;[0,0,0];[0.007999621052026215, -7.33045541976416e-05, 2.6257690547914446e-05]
DATA;02/06/2023 23:17:31;28.95;False;[0,0,0];[0.007999545894670035, -8.080034405154019e-05, 2.7143755616039378e-05]
DATA;02/06/2023 23:17:32;28.94;False;[0,0,0];[0.007999463142190591, -8.878877151909979e-05, 2.6570487127103687e-05]
DATA;02/06/2023 23:17:33;28.95;False;[0,0,0];[0.007999361135818183, -9.695466215375742e-05, 2.865680107610191e-05]
DATA;02/06/2023 23:17:34;28.94;False;[0,0,0];[0.007999235958458539, -0.00010592352794125326, 3.1690489611542197e-05]
DATA;02/06/2023 23:17:35;28.95;False;[0,0,0];[0.007999103625878216, -0.00011441941301834608, 3.534657530630909e-05]
DATA;02/06/2023 23:17:36;28.95;False;[0,0,0];[0.007998976201525357, -0.00012134776318166273, 4.067490382340819e-05]
DATA;02/06/2023 23:17:37;28.94;False;[0,0,0];[0.007998821353453455, -0.0001309251255802547, 4.1419404001927104e-05]
DATA;02/06/2023 23:17:38;28.95;False;[0,0,0];[0.007999079771206506, -0.0001060162617506001, 5.9020048445438776e-05]
